Timestamp,RadarId,AssociationMs,KalmanMs,TotalMs,ActiveTrackCount
2026-04-05T17:32:50.1959734Z,00000000-0000-0000-0000-000000000003,2.292,5.641,7.934,1
2026-04-05T17:32:50.1988004Z,00000000-0000-0000-0000-000000000003,0.017,0.493,0.510,2
2026-04-05T17:32:50.2042547Z,00000000-0000-0000-0000-000000000003,0.500,0.285,0.785,3
2026-04-05T17:32:50.2109889Z,00000000-0000-0000-0000-000000000003,0.015,0.167,0.183,4
2026-04-05T17:32:50.2199854Z,00000000-0000-0000-0000-000000000003,4.243,4.681,8.923,4
2026-04-05T17:32:50.2202695Z,00000000-0000-0000-0000-000000000003,0.004,0.055,0.059,5
2026-04-05T17:32:50.2211483Z,00000000-0000-0000-0000-000000000003,0.003,0.066,0.069,6
2026-04-05T17:32:50.2211922Z,00000000-0000-0000-0000-000000000003,0.003,0.028,0.031,7
2026-04-05T17:32:50.2212586Z,00000000-0000-0000-0000-000000000003,0.002,0.021,0.023,8
2026-04-05T17:32:50.2212900Z,00000000-0000-0000-0000-000000000003,0.001,0.022,0.023,9
2026-04-05T17:32:50.2295428Z,00000000-0000-0000-0000-000000000003,0.001,8.242,8.242,10
2026-04-05T17:32:50.2297308Z,00000000-0000-0000-0000-000000000003,0.012,0.096,0.108,11
2026-04-05T17:32:50.2298268Z,00000000-0000-0000-0000-000000000003,0.032,0.050,0.082,11
2026-04-05T17:32:50.2298928Z,00000000-0000-0000-0000-000000000003,0.002,0.023,0.025,12
2026-04-05T17:32:50.2299422Z,00000000-0000-0000-0000-000000000003,0.002,0.019,0.021,13
2026-04-05T17:32:50.2307858Z,00000000-0000-0000-0000-000000000003,0.001,0.833,0.834,14
2026-04-05T17:32:50.2309654Z,00000000-0000-0000-0000-000000000003,0.009,0.051,0.060,15
2026-04-05T17:32:50.2311459Z,00000000-0000-0000-0000-000000000003,0.004,0.134,0.138,16
2026-04-05T17:32:50.2311918Z,00000000-0000-0000-0000-000000000003,0.004,0.020,0.025,17
2026-04-05T17:32:50.2312235Z,00000000-0000-0000-0000-000000000003,0.002,0.017,0.019,18
2026-04-05T17:32:50.2312602Z,00000000-0000-0000-0000-000000000003,0.005,0.021,0.026,19
2026-04-05T17:32:50.2312912Z,00000000-0000-0000-0000-000000000003,0.003,0.020,0.022,20
2026-04-05T17:32:50.2313278Z,00000000-0000-0000-0000-000000000003,0.003,0.023,0.026,21
2026-04-05T17:32:50.2314159Z,00000000-0000-0000-0000-000000000003,0.004,0.023,0.027,22
2026-04-05T17:32:50.2314876Z,00000000-0000-0000-0000-000000000003,0.004,0.021,0.025,23
2026-04-05T17:32:50.2315225Z,00000000-0000-0000-0000-000000000003,0.004,0.019,0.023,24
2026-04-05T17:32:50.2316040Z,00000000-0000-0000-0000-000000000003,0.003,0.049,0.052,25
2026-04-05T17:32:50.2316401Z,00000000-0000-0000-0000-000000000003,0.004,0.015,0.019,26
2026-04-05T17:32:50.2317579Z,00000000-0000-0000-0000-000000000003,0.003,0.085,0.088,27
2026-04-05T17:32:50.2318767Z,00000000-0000-0000-0000-000000000003,0.005,0.073,0.078,28
2026-04-05T17:32:50.2320715Z,00000000-0000-0000-0000-000000000003,0.008,0.064,0.072,29
2026-04-05T17:32:50.2322035Z,00000000-0000-0000-0000-000000000003,0.008,0.043,0.051,30
2026-04-05T17:32:50.2322903Z,00000000-0000-0000-0000-000000000003,0.004,0.068,0.071,31
2026-04-05T17:32:52.5904213Z,00000000-0000-0000-0000-000000000003,0.222,1.796,2.018,31
2026-04-05T17:32:52.5907867Z,00000000-0000-0000-0000-000000000003,0.072,0.088,0.160,31
2026-04-05T17:32:52.5920577Z,00000000-0000-0000-0000-000000000003,0.028,0.150,0.177,32
2026-04-05T17:32:52.6068308Z,00000000-0000-0000-0000-000000000003,0.050,1.665,1.715,32
