Timestamp,RadarId,AssociationMs,KalmanMs,TotalMs,ActiveTrackCount
2026-04-05T18:17:32.3574880Z,00000000-0000-0000-0000-000000000030,2.268,5.373,7.640,1
2026-04-05T18:17:32.3703012Z,00000000-0000-0000-0000-000000000003,0.014,0.390,0.403,1
2026-04-05T18:17:32.3705321Z,00000000-0000-0000-0000-000000000030,0.002,0.036,0.038,2
2026-04-05T18:17:32.3714865Z,00000000-0000-0000-0000-000000000003,0.003,0.266,0.269,2
2026-04-05T18:17:32.3716590Z,00000000-0000-0000-0000-000000000030,0.002,0.031,0.033,3
2026-04-05T18:17:32.3893526Z,00000000-0000-0000-0000-000000000003,5.284,3.982,9.266,2
2026-04-05T18:17:32.3913434Z,00000000-0000-0000-0000-000000000030,0.056,0.084,0.140,3
2026-04-05T18:17:32.4237504Z,00000000-0000-0000-0000-000000000003,0.009,0.127,0.136,3
2026-04-05T18:17:32.4702436Z,00000000-0000-0000-0000-000000000030,0.065,0.127,0.192,3
2026-04-05T18:17:32.5168639Z,00000000-0000-0000-0000-000000000003,0.043,0.085,0.128,2
2026-04-05T18:17:32.5640275Z,00000000-0000-0000-0000-000000000030,0.009,0.124,0.133,3
2026-04-05T18:17:32.6108209Z,00000000-0000-0000-0000-000000000003,0.007,0.142,0.149,3
2026-04-05T18:17:32.6601623Z,00000000-0000-0000-0000-000000000030,0.008,1.774,1.782,3
2026-04-05T18:17:32.7097218Z,00000000-0000-0000-0000-000000000003,0.020,0.163,0.183,4
2026-04-05T18:17:32.7524689Z,00000000-0000-0000-0000-000000000030,0.073,0.133,0.206,3
2026-04-05T18:17:32.7987170Z,00000000-0000-0000-0000-000000000003,0.007,0.080,0.087,4
2026-04-05T18:17:32.8456745Z,00000000-0000-0000-0000-000000000030,0.070,0.096,0.166,3
2026-04-05T18:17:32.8924495Z,00000000-0000-0000-0000-000000000003,0.017,0.111,0.127,4
2026-04-05T18:17:32.9401040Z,00000000-0000-0000-0000-000000000030,0.009,0.114,0.123,3
2026-04-05T18:17:32.9870385Z,00000000-0000-0000-0000-000000000003,0.049,0.077,0.126,3
2026-04-05T18:17:33.0337527Z,00000000-0000-0000-0000-000000000030,0.009,0.113,0.121,3
2026-04-05T18:17:33.0802718Z,00000000-0000-0000-0000-000000000003,0.006,0.092,0.098,3
2026-04-05T18:17:33.1278142Z,00000000-0000-0000-0000-000000000030,0.009,0.129,0.139,4
