Timestamp,RadarId,AssociationMs,KalmanMs,TotalMs,ActiveTrackCount
2026-04-05T18:22:12.3974956Z,00000000-0000-0000-0000-000000000030,3.310,5.707,9.018,1
2026-04-05T18:22:12.4094124Z,00000000-0000-0000-0000-000000000003,0.021,0.396,0.417,1
2026-04-05T18:22:12.4096956Z,00000000-0000-0000-0000-000000000030,0.002,0.056,0.058,2
2026-04-05T18:22:12.4107917Z,00000000-0000-0000-0000-000000000003,0.003,0.282,0.285,2
2026-04-05T18:22:12.4109794Z,00000000-0000-0000-0000-000000000030,0.002,0.040,0.041,3
2026-04-05T18:22:12.4429160Z,00000000-0000-0000-0000-000000000003,4.103,3.708,7.811,2
2026-04-05T18:22:12.4681006Z,00000000-0000-0000-0000-000000000030,0.089,0.159,0.247,3
2026-04-05T18:22:12.4974760Z,00000000-0000-0000-0000-000000000003,0.042,0.117,0.159,2
2026-04-05T18:22:12.5282730Z,00000000-0000-0000-0000-000000000030,0.031,0.114,0.145,3
2026-04-05T18:22:12.5596325Z,00000000-0000-0000-0000-000000000003,0.054,0.096,0.150,2
2026-04-05T18:22:12.5909582Z,00000000-0000-0000-0000-000000000030,0.007,0.106,0.113,3
2026-04-05T18:22:12.6227106Z,00000000-0000-0000-0000-000000000003,0.030,1.080,1.110,2
2026-04-05T18:22:12.6530637Z,00000000-0000-0000-0000-000000000030,0.032,0.094,0.125,3
2026-04-05T18:22:12.6838450Z,00000000-0000-0000-0000-000000000003,0.005,0.072,0.077,2
2026-04-05T18:22:12.7150675Z,00000000-0000-0000-0000-000000000030,0.030,0.051,0.082,2
2026-04-05T18:22:12.7520627Z,00000000-0000-0000-0000-000000000003,0.011,0.102,0.113,3
2026-04-05T18:22:12.7778722Z,00000000-0000-0000-0000-000000000030,0.064,0.094,0.158,2
2026-04-05T18:22:12.8086222Z,00000000-0000-0000-0000-000000000003,0.008,0.104,0.112,4
2026-04-05T18:22:12.8392590Z,00000000-0000-0000-0000-000000000030,0.015,0.110,0.124,3
2026-04-05T18:22:12.8714445Z,00000000-0000-0000-0000-000000000003,0.146,0.074,0.221,4
2026-04-05T18:22:12.9029035Z,00000000-0000-0000-0000-000000000030,0.065,0.088,0.152,3
