Timestamp,Gen0Collections,Gen1Collections,Gen2Collections,SuspectedPauseMs
2026-04-05T18:14:57.3917327Z,0,0,0,5.30
2026-04-05T18:14:57.4225487Z,0,0,0,7.09
2026-04-05T18:14:57.4379408Z,0,0,0,5.18
2026-04-05T18:14:57.4539978Z,0,0,0,5.80
2026-04-05T18:14:57.4843298Z,0,0,0,5.20
2026-04-05T18:14:57.5003959Z,0,0,0,5.90
2026-04-05T18:14:57.5158241Z,0,0,0,5.24
2026-04-05T18:14:57.5319901Z,0,0,0,5.97
2026-04-05T18:14:57.5476666Z,0,0,0,5.53
2026-04-05T18:14:57.5631708Z,0,0,0,5.33
2026-04-05T18:14:57.5790892Z,0,0,0,5.75
2026-04-05T18:14:57.5948067Z,0,0,0,5.40
2026-04-05T18:14:57.6108776Z,0,0,0,5.90
2026-04-05T18:14:57.6414182Z,0,0,0,5.34
2026-04-05T18:14:57.6568324Z,0,0,0,5.29
2026-04-05T18:14:57.6722030Z,0,0,0,5.22
2026-04-05T18:14:57.6882590Z,0,0,0,5.92
2026-04-05T18:14:57.7039786Z,0,0,0,5.59
2026-04-05T18:14:57.7193701Z,0,0,0,5.26
2026-04-05T18:14:57.7346856Z,0,0,0,5.19
2026-04-05T18:14:57.7503519Z,0,0,0,5.53
2026-04-05T18:14:57.7661003Z,0,0,0,5.61
2026-04-05T18:14:57.7968818Z,0,0,0,5.94
2026-04-05T18:14:57.8120735Z,0,0,0,5.04
2026-04-05T18:14:57.8278497Z,0,0,0,5.64
2026-04-05T18:14:57.8438257Z,0,0,0,5.84
2026-04-05T18:14:57.8591204Z,0,0,0,5.15
2026-04-05T18:14:57.8745647Z,0,0,0,5.24
2026-04-05T18:14:57.8900753Z,0,0,0,5.11
2026-04-05T18:14:57.9206988Z,0,0,0,5.32
2026-04-05T18:14:57.9368225Z,0,0,0,5.86
2026-04-05T18:14:57.9679288Z,0,0,0,5.99
2026-04-05T18:14:57.9833367Z,0,0,0,5.25
2026-04-05T18:14:57.9987714Z,0,0,0,5.28
2026-04-05T18:14:58.0302221Z,0,0,0,6.63
2026-04-05T18:14:58.0456182Z,0,0,0,5.25
2026-04-05T18:14:58.0759710Z,0,0,0,5.90
2026-04-05T18:14:58.0913331Z,0,0,0,5.21
2026-04-05T18:14:58.1074458Z,0,0,0,5.97
2026-04-05T18:14:58.1231358Z,0,0,0,5.57
2026-04-05T18:14:58.1390853Z,0,0,0,5.79
2026-04-05T18:14:58.1547503Z,0,0,0,5.48
2026-04-05T18:14:58.1702380Z,0,0,0,5.34
2026-04-05T18:14:58.1862524Z,0,0,0,5.89
2026-04-05T18:14:58.2021750Z,0,0,0,5.79
2026-04-05T18:14:58.2178869Z,0,0,0,5.58
2026-04-05T18:14:58.2339983Z,0,0,0,5.98
2026-04-05T18:14:58.2491770Z,0,0,0,5.04
2026-04-05T18:14:58.2646999Z,0,0,0,5.39
2026-04-05T18:14:58.2959567Z,0,0,0,6.05
2026-04-05T18:14:58.3262239Z,0,0,0,5.39
2026-04-05T18:14:58.3419627Z,0,0,0,5.58
