Timestamp,Gen0Collections,Gen1Collections,Gen2Collections,SuspectedPauseMs
2026-04-05T18:41:59.0972488Z,0,0,0,6.25
2026-04-05T18:41:59.1437461Z,0,0,0,5.32
2026-04-05T18:41:59.1598600Z,0,0,0,5.92
2026-04-05T18:41:59.1911182Z,0,0,0,5.81
2026-04-05T18:41:59.2065947Z,0,0,0,5.33
2026-04-05T18:41:59.2220124Z,0,0,0,5.26
2026-04-05T18:41:59.2378573Z,0,0,0,5.55
2026-04-05T18:41:59.2538038Z,0,0,0,5.75
2026-04-05T18:41:59.2847400Z,0,0,0,5.72
2026-04-05T18:41:59.3004430Z,0,0,0,5.48
2026-04-05T18:41:59.3157280Z,0,0,0,5.04
2026-04-05T18:41:59.3316175Z,0,0,0,5.73
2026-04-05T18:41:59.3470381Z,0,0,0,5.24
2026-04-05T18:41:59.3782624Z,0,0,0,5.71
2026-04-05T18:41:59.3936895Z,0,0,0,5.29
2026-04-05T18:41:59.4097440Z,0,0,0,5.88
2026-04-05T18:41:59.4254109Z,0,0,0,5.48
2026-04-05T18:41:59.4415040Z,0,0,0,5.96
2026-04-05T18:41:59.4574264Z,0,0,0,5.67
2026-04-05T18:41:59.4734488Z,0,0,0,5.89
2026-04-05T18:41:59.4888706Z,0,0,0,5.30
2026-04-05T18:41:59.5049027Z,0,0,0,5.93
2026-04-05T18:41:59.5275310Z,0,0,0,12.50
2026-04-05T18:41:59.5432312Z,0,0,0,5.56
2026-04-05T18:41:59.5593890Z,0,0,0,6.03
2026-04-05T18:41:59.5893998Z,0,0,0,5.57
2026-04-05T18:41:59.6050716Z,0,0,0,5.52
2026-04-05T18:41:59.6207133Z,0,0,0,5.52
2026-04-05T18:41:59.6362423Z,0,0,0,5.44
2026-04-05T18:41:59.6520586Z,0,0,0,5.50
2026-04-05T18:41:59.6680447Z,0,0,0,5.85
2026-04-05T18:41:59.6837783Z,0,0,0,5.60
2026-04-05T18:41:59.6998689Z,0,0,0,5.95
2026-04-05T18:41:59.7152073Z,0,0,0,5.21
2026-04-05T18:41:59.7304566Z,0,0,0,5.10
2026-04-05T18:41:59.7462663Z,0,0,0,5.70
2026-04-05T18:41:59.7617287Z,0,0,0,5.31
2026-04-05T18:41:59.7772174Z,0,0,0,5.37
2026-04-05T18:41:59.7931777Z,0,0,0,5.82
2026-04-05T18:41:59.8087670Z,0,0,0,5.44
2026-04-05T18:41:59.8397594Z,0,0,0,5.74
2026-04-05T18:41:59.8557739Z,0,0,0,5.87
2026-04-05T18:41:59.8716735Z,0,0,0,5.76
2026-04-05T18:41:59.8869971Z,0,0,0,5.19
2026-04-05T18:41:59.9177343Z,0,0,0,5.81
2026-04-05T18:41:59.9332804Z,0,0,0,5.39
2026-04-05T18:41:59.9493693Z,0,0,0,5.88
2026-04-05T18:41:59.9651024Z,0,0,0,5.61
2026-04-05T18:41:59.9807391Z,0,0,0,5.36
2026-04-05T18:41:59.9967392Z,0,0,0,5.87
2026-04-05T18:42:00.0123310Z,0,0,0,5.46
2026-04-05T18:42:00.0278567Z,0,0,0,5.40
2026-04-05T18:42:00.0437641Z,0,0,0,5.72
2026-04-05T18:42:00.0591641Z,0,0,0,5.26
2026-04-05T18:42:00.0893929Z,0,0,0,5.31
2026-04-05T18:42:00.1206424Z,0,0,0,6.11
2026-04-05T18:42:00.1359744Z,0,0,0,5.15
2026-04-05T18:42:00.1515092Z,0,0,0,5.32
2026-04-05T18:42:00.1669074Z,0,0,0,5.20
2026-04-05T18:42:00.1826963Z,0,0,0,5.60
2026-04-05T18:42:00.1985460Z,0,0,0,5.65
2026-04-05T18:42:00.2150603Z,0,0,0,6.28
2026-04-05T18:42:00.2308902Z,0,0,0,5.63
2026-04-05T18:42:00.2614930Z,0,0,0,5.30
2026-04-05T18:42:00.2771127Z,0,0,0,5.41
2026-04-05T18:42:00.2926653Z,0,0,0,5.44
2026-04-05T18:42:00.3079361Z,0,0,0,5.11
2026-04-05T18:42:00.3385703Z,0,0,0,5.57
2026-04-05T18:42:00.3694899Z,0,0,0,6.04
2026-04-05T18:42:00.3853200Z,0,0,0,5.69
2026-04-05T18:42:00.4006538Z,0,0,0,5.17
2026-04-05T18:42:00.4164408Z,0,0,0,5.48
2026-04-05T18:42:00.4324985Z,0,0,0,5.67
2026-04-05T18:42:00.4485873Z,0,0,0,5.85
2026-04-05T18:42:00.4645582Z,0,0,0,5.75
2026-04-05T18:42:00.4802591Z,0,0,0,5.50
2026-04-05T18:42:00.4961446Z,0,0,0,5.72
2026-04-05T18:42:00.5116721Z,0,0,0,5.30
2026-04-05T18:42:00.5272960Z,0,0,0,5.47
2026-04-05T18:42:00.5583094Z,0,0,0,5.89
2026-04-05T18:42:00.5896057Z,0,0,0,6.03
2026-04-05T18:42:00.6055601Z,0,0,0,5.81
2026-04-05T18:42:00.6212463Z,0,0,0,5.53
2026-04-05T18:42:00.6534720Z,0,0,0,5.98
2026-04-05T18:42:00.6688392Z,0,0,0,5.14
2026-04-05T18:42:00.6843280Z,0,0,0,5.29
2026-04-05T18:42:00.7152036Z,0,0,0,5.69
2026-04-05T18:42:00.7310895Z,0,0,0,5.76
2026-04-05T18:42:00.7462547Z,0,0,0,5.02
2026-04-05T18:42:00.7615119Z,0,0,0,5.05
2026-04-05T18:42:00.7771124Z,0,0,0,5.48
2026-04-05T18:42:00.7926528Z,0,0,0,5.28
2026-04-05T18:42:00.8078474Z,0,0,0,5.06
2026-04-05T18:42:00.8391529Z,0,0,0,6.10
2026-04-05T18:42:00.8547694Z,0,0,0,5.47
2026-04-05T18:42:00.8699716Z,0,0,0,5.08
2026-04-05T18:42:00.8860501Z,0,0,0,5.93
2026-04-05T18:42:00.9321183Z,0,0,0,6.00
2026-04-05T18:42:00.9483307Z,0,0,0,6.07
2026-04-05T18:42:00.9641085Z,0,0,0,5.50
2026-04-05T18:42:00.9801087Z,0,0,0,5.85
2026-04-05T18:42:00.9956806Z,0,0,0,5.42
2026-04-05T18:42:01.0265344Z,0,0,0,5.69
2026-04-05T18:42:01.0424358Z,0,0,0,5.78
2026-04-05T18:42:01.0577648Z,0,0,0,5.10
2026-04-05T18:42:01.0737078Z,0,0,0,5.56
2026-04-05T18:42:01.0894820Z,0,0,0,5.68
2026-04-05T18:42:01.1048302Z,0,0,0,5.23
2026-04-05T18:42:01.1205584Z,0,0,0,5.63
2026-04-05T18:42:01.1508216Z,0,0,0,5.31
2026-04-05T18:42:01.1662730Z,0,0,0,5.30
2026-04-05T18:42:01.1970566Z,0,0,0,5.67
2026-04-05T18:42:01.2124446Z,0,0,0,5.26
2026-04-05T18:42:01.2279435Z,0,0,0,5.40
2026-04-05T18:42:01.2442694Z,0,0,0,6.23
2026-04-05T18:42:01.2745248Z,0,0,0,5.36
2026-04-05T18:42:01.3052791Z,0,0,0,5.66
2026-04-05T18:42:01.3209527Z,0,0,0,5.46
2026-04-05T18:42:01.3363225Z,0,0,0,5.17
2026-04-05T18:42:01.3525282Z,0,0,0,6.05
2026-04-05T18:42:01.3829104Z,0,0,0,5.37
2026-04-05T18:42:01.3984848Z,0,0,0,5.39
2026-04-05T18:42:01.4139554Z,0,0,0,5.30
2026-04-05T18:42:01.4441667Z,0,0,0,5.44
2026-04-05T18:42:01.4601492Z,0,0,0,5.84
2026-04-05T18:42:01.4761838Z,0,0,0,5.93
2026-04-05T18:42:01.4924732Z,0,0,0,6.19
2026-04-05T18:42:01.5083318Z,0,0,0,5.76
2026-04-05T18:42:01.5390295Z,0,0,0,5.96
2026-04-05T18:42:01.5551461Z,0,0,0,6.01
2026-04-05T18:42:01.5705766Z,0,0,0,5.33
2026-04-05T18:42:01.5858627Z,0,0,0,5.18
