Timestamp,CpuPercent,WorkingSetMb,GcAllocatedMb,ThreadCount
2026-04-05T18:12:35.8609255Z,4.7,69.4,3.1,34
2026-04-05T18:12:36.8710720Z,2.7,71.7,3.9,34
2026-04-05T18:12:37.8870144Z,3.8,73.6,4.3,34
2026-04-05T18:12:38.9016664Z,1.7,74.7,5.1,34
2026-04-05T18:12:39.9129522Z,1.5,75.1,5.5,34
2026-04-05T18:12:40.9425192Z,2.8,75.8,6.3,34
2026-04-05T18:12:41.9480691Z,0.0,76.2,6.7,34
2026-04-05T18:12:42.9557145Z,0.8,73.8,7.0,34
2026-04-05T18:12:43.9724011Z,1.7,74.5,7.7,34
2026-04-05T18:12:44.9817273Z,0.2,74.9,8.0,34
2026-04-05T18:12:45.9938905Z,0.4,75.6,8.8,34
2026-04-05T18:12:47.0046718Z,1.0,73.9,9.2,34
2026-04-05T18:12:48.0218902Z,2.7,74.2,9.5,34
2026-04-05T18:12:49.0342113Z,0.6,74.9,10.2,34
2026-04-05T18:12:50.0467453Z,0.6,75.6,10.6,34
2026-04-05T18:12:51.0642494Z,0.4,76.3,11.3,34
2026-04-05T18:12:52.0849643Z,2.7,76.5,11.7,34
2026-04-05T18:12:53.1042321Z,0.0,76.9,12.0,34
2026-04-05T18:12:54.1159366Z,1.5,77.7,12.8,34
2026-04-05T18:12:55.1296049Z,0.0,78.0,13.1,34
2026-04-05T18:12:56.1466117Z,3.6,79.6,14.0,34
2026-04-05T18:12:57.1658979Z,3.6,79.7,14.4,34
2026-04-05T18:12:58.1813830Z,0.8,80.1,14.7,34
2026-04-05T18:12:59.1993133Z,1.7,80.8,15.4,34
2026-04-05T18:13:00.2114696Z,0.2,81.1,15.7,34
2026-04-05T18:13:01.2333190Z,1.0,81.8,16.3,34
2026-04-05T18:13:02.2460949Z,0.0,82.1,16.7,34
2026-04-05T18:13:03.2545177Z,0.4,81.8,17.0,34
2026-04-05T18:13:04.2765870Z,0.6,82.8,17.7,34
2026-04-05T18:13:05.2932685Z,0.6,83.3,18.0,34
2026-04-05T18:13:06.3070858Z,0.2,83.9,18.6,35
2026-04-05T18:13:07.3217469Z,0.8,84.3,18.9,35
2026-04-05T18:13:08.3334516Z,3.1,84.6,19.2,35
2026-04-05T18:13:09.3478559Z,0.2,85.4,20.1,35
2026-04-05T18:13:10.3621172Z,2.7,85.7,20.5,35
2026-04-05T18:13:11.3740867Z,0.2,85.9,21.1,35
2026-04-05T18:13:12.3839848Z,0.0,86.2,21.4,35
2026-04-05T18:13:13.3976416Z,1.9,87.0,21.8,35
2026-04-05T18:13:14.4190205Z,3.1,87.6,22.4,35
2026-04-05T18:13:15.4318631Z,0.0,88.0,22.7,35
2026-04-05T18:13:16.4535122Z,0.2,88.8,23.5,35
2026-04-05T18:13:17.4751545Z,1.1,89.1,23.8,35
2026-04-05T18:13:18.4964515Z,0.6,89.4,24.1,35
2026-04-05T18:13:19.5109970Z,0.0,90.7,24.8,35
2026-04-05T18:13:20.5223813Z,5.8,90.1,25.1,35
2026-04-05T18:13:21.5468612Z,1.7,91.8,25.8,35
2026-04-05T18:13:22.5519387Z,0.0,92.1,26.1,35
2026-04-05T18:13:23.5640100Z,0.4,92.5,26.5,35
2026-04-05T18:13:24.5777238Z,0.0,93.0,26.9,35
2026-04-05T18:13:25.5970620Z,0.0,93.3,27.2,35
2026-04-05T18:13:26.6186080Z,0.0,93.4,27.9,34
2026-04-05T18:13:27.6301165Z,2.3,93.4,28.2,34
2026-04-05T18:13:28.6451962Z,0.4,94.0,28.8,34
2026-04-05T18:13:29.6569121Z,0.0,94.4,29.2,34
2026-04-05T18:13:30.6783656Z,1.1,94.6,29.5,33
2026-04-05T18:13:31.6894161Z,0.2,95.2,30.1,33
2026-04-05T18:13:32.7055086Z,0.0,95.7,30.4,34
