Timestamp,CpuPercent,WorkingSetMb,GcAllocatedMb,ThreadCount
2026-04-05T18:19:46.8404761Z,4.4,69.5,3.3,36
2026-04-05T18:19:47.8584125Z,1.9,72.4,4.4,36
2026-04-05T18:19:48.8623132Z,3.9,74.4,5.0,36
2026-04-05T18:19:49.8764135Z,5.0,76.1,6.0,36
2026-04-05T18:19:50.8934675Z,0.0,76.8,6.6,36
2026-04-05T18:19:51.9030896Z,0.2,78.0,7.8,36
2026-04-05T18:19:52.9142650Z,0.8,78.8,8.6,36
2026-04-05T18:19:53.9284521Z,1.7,77.0,9.3,36
2026-04-05T18:19:54.9455129Z,1.3,78.2,10.5,36
2026-04-05T18:19:55.9661639Z,1.3,78.8,11.1,36
2026-04-05T18:19:56.9839603Z,2.7,79.9,12.0,36
2026-04-05T18:19:57.9955233Z,0.0,78.1,12.7,36
2026-04-05T18:19:59.0084533Z,0.6,78.8,13.3,36
2026-04-05T18:20:00.0221436Z,6.4,79.7,14.3,36
2026-04-05T18:20:01.0337108Z,0.6,80.3,14.9,36
2026-04-05T18:20:02.0475616Z,0.0,80.9,15.9,36
2026-04-05T18:20:03.0574376Z,0.0,81.7,16.6,36
2026-04-05T18:20:04.0632071Z,1.4,82.4,17.3,36
2026-04-05T18:20:05.0750351Z,0.0,83.4,18.3,36
2026-04-05T18:20:06.1004585Z,2.1,84.0,18.9,36
2026-04-05T18:20:07.1125312Z,0.6,85.5,19.6,36
2026-04-05T18:20:08.1264679Z,0.4,86.0,20.1,36
2026-04-05T18:20:09.1361047Z,0.0,86.4,20.4,36
2026-04-05T18:20:10.1478882Z,2.3,87.1,21.2,36
2026-04-05T18:20:11.1662439Z,0.8,87.6,21.6,36
2026-04-05T18:20:12.1883982Z,0.2,88.3,22.4,36
2026-04-05T18:20:13.2015128Z,0.0,88.8,22.9,36
2026-04-05T18:20:14.2215038Z,0.0,89.4,23.4,35
2026-04-05T18:20:15.2283336Z,0.2,89.7,24.3,36
2026-04-05T18:20:16.2493491Z,2.1,90.3,24.7,36
2026-04-05T18:20:17.2613912Z,1.0,91.1,25.5,36
2026-04-05T18:20:18.2841421Z,1.1,91.8,25.9,36
2026-04-05T18:20:19.2901967Z,0.0,92.1,26.2,36
2026-04-05T18:20:20.3047414Z,1.9,92.9,27.0,36
2026-04-05T18:20:21.3151408Z,0.6,93.3,27.4,36
2026-04-05T18:20:22.3254350Z,0.2,93.9,28.0,36
2026-04-05T18:20:23.3345726Z,0.6,93.8,28.4,36
2026-04-05T18:20:24.3434425Z,0.0,94.1,28.7,36
2026-04-05T18:20:25.3566555Z,0.0,94.7,29.3,35
2026-04-05T18:20:26.3735937Z,1.2,95.1,29.5,36
2026-04-05T18:20:27.3867286Z,0.0,95.9,30.2,36
2026-04-05T18:20:28.3980148Z,0.2,96.3,30.5,36
2026-04-05T18:20:29.4139671Z,3.5,96.6,30.8,36
2026-04-05T18:20:30.4323488Z,0.8,97.1,31.4,35
2026-04-05T18:20:31.4441936Z,0.4,97.0,31.6,35
2026-04-05T18:20:32.4606431Z,1.0,98.5,32.1,35
2026-04-05T18:20:33.4708894Z,0.2,98.8,32.4,35
2026-04-05T18:20:34.4934617Z,0.0,99.0,32.6,35
2026-04-05T18:20:35.5052042Z,1.7,99.4,33.0,35
2026-04-05T18:20:36.5176374Z,0.0,99.6,33.2,35
2026-04-05T18:20:37.5256923Z,0.4,100.1,33.6,35
2026-04-05T18:20:38.5387370Z,0.8,99.2,33.8,35
2026-04-05T18:20:39.5496714Z,0.2,99.2,34.0,36
2026-04-05T18:20:40.5625970Z,0.2,99.7,34.5,36
2026-04-05T18:20:41.5759917Z,0.2,99.8,34.7,36
2026-04-05T18:20:42.5991294Z,0.0,100.2,35.0,36
2026-04-05T18:20:43.6127316Z,0.2,100.2,35.1,35
2026-04-05T18:20:44.6256651Z,0.0,100.3,35.2,35
