Timestamp,CpuPercent,WorkingSetMb,GcAllocatedMb,ThreadCount
2026-04-05T18:14:58.3738563Z,4.3,69.7,3.4,35
2026-04-05T18:14:59.3896098Z,1.7,71.8,4.6,35
2026-04-05T18:15:00.4058973Z,3.5,74.6,5.2,35
2026-04-05T18:15:01.4206682Z,5.0,76.3,6.2,35
2026-04-05T18:15:02.4342981Z,0.0,76.9,6.7,35
2026-04-05T18:15:03.4494634Z,1.3,77.7,7.3,35
2026-04-05T18:15:04.4580977Z,0.4,78.7,8.3,35
2026-04-05T18:15:05.4757623Z,2.7,76.8,8.9,35
2026-04-05T18:15:06.4893325Z,0.4,77.8,10.0,35
2026-04-05T18:15:07.5058710Z,0.0,78.4,10.6,35
2026-04-05T18:15:08.5190739Z,0.6,79.2,11.2,35
2026-04-05T18:15:09.5351358Z,0.6,77.9,12.3,35
2026-04-05T18:15:10.5492998Z,0.0,78.5,12.9,35
2026-04-05T18:15:11.5626941Z,0.2,79.5,14.0,35
2026-04-05T18:15:12.5775068Z,0.0,80.2,14.7,35
2026-04-05T18:15:13.5878440Z,0.2,81.2,15.9,35
2026-04-05T18:15:14.6000239Z,0.8,81.5,16.6,35
2026-04-05T18:15:15.6051048Z,0.0,82.1,17.2,35
2026-04-05T18:15:16.6201548Z,0.0,83.1,18.1,35
2026-04-05T18:15:17.6380695Z,0.0,83.7,18.7,35
2026-04-05T18:15:18.6476498Z,1.7,85.6,19.8,35
2026-04-05T18:15:19.6657112Z,2.9,86.3,20.5,35
2026-04-05T18:15:20.6795747Z,4.4,87.0,21.2,35
2026-04-05T18:15:21.6952536Z,2.5,88.1,22.2,35
2026-04-05T18:15:22.7114357Z,1.9,88.7,22.8,35
2026-04-05T18:15:23.7218819Z,5.4,89.5,23.6,35
2026-04-05T18:15:24.7379405Z,0.2,90.2,24.3,35
2026-04-05T18:15:25.7535840Z,0.2,90.2,24.9,35
2026-04-05T18:15:26.7577978Z,3.3,91.2,26.0,35
2026-04-05T18:15:27.7712374Z,3.7,92.0,26.6,35
2026-04-05T18:15:28.7876822Z,2.1,93.0,27.5,35
2026-04-05T18:15:29.7977622Z,0.6,93.8,28.1,35
2026-04-05T18:15:30.8141907Z,0.0,94.5,28.8,35
2026-04-05T18:15:31.8360592Z,2.3,95.4,29.7,35
2026-04-05T18:15:32.8477756Z,1.7,96.1,30.4,35
2026-04-05T18:15:33.8619481Z,0.6,96.5,31.3,35
2026-04-05T18:15:34.8733001Z,0.0,97.3,32.0,35
2026-04-05T18:15:35.8865843Z,0.0,97.9,32.7,35
2026-04-05T18:15:36.9018445Z,1.5,99.0,33.7,35
2026-04-05T18:15:37.9132598Z,1.4,99.6,34.3,35
2026-04-05T18:15:38.9319696Z,4.4,100.6,35.4,35
2026-04-05T18:15:39.9389983Z,1.2,101.2,36.0,35
2026-04-05T18:15:40.9542539Z,2.7,101.9,36.7,35
2026-04-05T18:15:41.9638963Z,0.2,102.8,37.6,35
2026-04-05T18:15:42.9857427Z,0.0,103.5,38.3,35
2026-04-05T18:15:44.0001659Z,0.2,108.1,39.5,35
2026-04-05T18:15:45.0086376Z,0.8,108.1,40.2,35
2026-04-05T18:15:46.0259905Z,0.0,108.1,40.8,35
2026-04-05T18:15:47.0415831Z,0.0,108.1,41.7,35
2026-04-05T18:15:48.0601466Z,0.2,108.1,42.3,34
2026-04-05T18:15:49.0766103Z,0.4,108.1,43.6,35
2026-04-05T18:15:50.0883294Z,0.0,108.1,44.2,35
2026-04-05T18:15:51.1062520Z,0.4,108.1,44.8,35
2026-04-05T18:15:52.1168593Z,1.9,108.1,45.9,35
2026-04-05T18:15:53.1242969Z,0.4,107.6,46.4,35
2026-04-05T18:15:54.1350513Z,0.2,107.3,47.5,35
2026-04-05T18:15:55.1498405Z,0.0,107.3,48.0,35
2026-04-05T18:15:56.1635641Z,1.3,107.3,48.3,35
2026-04-05T18:15:57.1764891Z,2.3,107.3,48.8,32
