Timestamp,CpuPercent,WorkingSetMb,GcAllocatedMb,ThreadCount
2026-04-05T18:30:43.4283974Z,7.0,70.2,3.3,35
2026-04-05T18:30:44.4432966Z,2.5,72.5,4.0,35
2026-04-05T18:30:45.4539264Z,3.3,74.8,5.1,35
2026-04-05T18:30:46.4629732Z,2.9,76.1,5.8,35
2026-04-05T18:30:47.4811026Z,0.2,77.2,7.0,35
2026-04-05T18:30:48.4951206Z,0.0,77.8,7.5,35
2026-04-05T18:30:49.5091707Z,0.0,78.5,8.2,35
2026-04-05T18:30:50.5289661Z,0.0,77.1,9.3,35
2026-04-05T18:30:51.5484502Z,0.0,77.7,9.9,35
2026-04-05T18:30:52.5592340Z,0.0,78.9,11.1,35
2026-04-05T18:30:53.5762329Z,0.2,79.6,11.8,35
2026-04-05T18:30:54.5913215Z,0.0,77.7,12.5,35
2026-04-05T18:30:55.6104475Z,0.0,78.9,13.6,35
2026-04-05T18:30:56.6221843Z,0.0,79.7,14.3,35
2026-04-05T18:30:57.6254815Z,0.6,80.9,15.6,35
2026-04-05T18:30:58.6387732Z,0.2,81.5,16.1,35
2026-04-05T18:30:59.6534214Z,0.0,82.1,16.7,35
2026-04-05T18:31:00.6630436Z,0.2,83.2,17.8,35
2026-04-05T18:31:01.6710667Z,0.0,83.8,18.4,35
2026-04-05T18:31:02.6876806Z,0.4,84.6,19.4,35
2026-04-05T18:31:03.6938200Z,0.0,85.2,19.9,35
2026-04-05T18:31:04.7046500Z,0.2,85.8,20.5,35
2026-04-05T18:31:05.7150139Z,0.0,86.8,21.6,35
2026-04-05T18:31:06.7281385Z,0.0,87.5,22.3,35
2026-04-05T18:31:07.7412645Z,1.7,88.6,23.5,35
2026-04-05T18:31:08.7546359Z,0.0,89.2,24.1,35
2026-04-05T18:31:09.7686356Z,0.2,89.8,24.6,35
2026-04-05T18:31:10.7847740Z,0.0,90.8,25.6,36
2026-04-05T18:31:11.7892202Z,1.0,91.5,26.3,36
2026-04-05T18:31:12.7987442Z,2.9,93.2,27.2,36
2026-04-05T18:31:13.8130197Z,0.2,94.0,27.8,36
2026-04-05T18:31:14.8293756Z,0.2,94.8,28.6,36
2026-04-05T18:31:15.8429093Z,0.0,96.0,29.8,36
2026-04-05T18:31:16.8568620Z,0.0,96.7,30.5,36
2026-04-05T18:31:17.8716028Z,0.0,97.7,31.6,36
2026-04-05T18:31:18.8856320Z,0.0,97.6,32.2,36
2026-04-05T18:31:19.8968390Z,0.2,98.3,32.8,36
2026-04-05T18:31:20.9090881Z,0.0,99.3,33.8,36
2026-04-05T18:31:21.9150989Z,0.0,99.8,34.4,35
2026-04-05T18:31:22.9213698Z,2.5,101.0,35.4,36
2026-04-05T18:31:23.9385374Z,0.0,101.7,36.1,36
2026-04-05T18:31:24.9535145Z,0.2,102.8,36.7,36
2026-04-05T18:31:25.9661941Z,0.0,103.8,37.8,36
2026-04-05T18:31:26.9713882Z,0.0,107.4,38.3,36
2026-04-05T18:31:27.9849112Z,0.2,109.0,39.5,36
2026-04-05T18:31:28.9899243Z,0.0,109.0,40.1,36
2026-04-05T18:31:30.0040071Z,0.0,109.0,40.8,35
2026-04-05T18:31:31.0163584Z,0.2,109.0,41.6,35
2026-04-05T18:31:32.0320961Z,0.0,109.0,42.2,35
2026-04-05T18:31:33.0442488Z,0.0,109.0,43.3,35
2026-04-05T18:31:34.0563184Z,0.0,106.8,44.0,34
2026-04-05T18:31:35.0647030Z,0.4,106.8,44.5,34
2026-04-05T18:31:36.0781731Z,0.0,106.8,45.6,34
2026-04-05T18:31:37.0915293Z,0.0,106.8,46.2,34
2026-04-05T18:31:38.1007276Z,0.0,106.9,47.1,34
2026-04-05T18:31:39.1167337Z,0.6,106.9,47.7,34
2026-04-05T18:31:40.1266362Z,0.6,106.9,48.4,34
2026-04-05T18:31:41.1437679Z,0.0,106.9,49.4,34
2026-04-05T18:31:42.1619600Z,0.4,107.0,50.0,31
2026-04-05T18:31:43.1745402Z,3.1,107.3,51.0,31
2026-04-05T18:31:44.1868761Z,0.2,107.3,51.6,31
2026-04-05T18:31:45.2021967Z,0.2,107.8,52.2,31
2026-04-05T18:31:46.2148830Z,0.2,107.8,53.4,31
2026-04-05T18:31:47.2296964Z,0.0,107.8,53.9,31
2026-04-05T18:31:48.2390137Z,0.6,107.8,54.9,31
2026-04-05T18:31:49.2548491Z,0.0,107.7,55.5,30
2026-04-05T18:31:50.2730431Z,0.4,106.7,56.0,30
2026-04-05T18:31:51.2872523Z,0.8,106.5,57.1,30
2026-04-05T18:31:52.2921536Z,1.2,106.5,57.8,30
2026-04-05T18:31:53.3178440Z,0.4,106.5,58.9,30
2026-04-05T18:31:54.3354162Z,1.0,106.5,59.4,30
2026-04-05T18:31:55.3466252Z,1.0,106.5,60.0,30
2026-04-05T18:31:56.3611375Z,0.0,106.6,60.8,31
2026-04-05T18:31:57.3786949Z,0.0,106.7,61.5,31
