Timestamp,CpuPercent,WorkingSetMb,GcAllocatedMb,ThreadCount
2026-04-05T18:22:13.2910292Z,4.3,70.2,3.8,33
2026-04-05T18:22:14.3015180Z,3.3,71.8,4.5,33
2026-04-05T18:22:15.3114910Z,3.1,74.1,5.0,33
2026-04-05T18:22:16.3278067Z,3.8,76.0,6.1,33
2026-04-05T18:22:17.3382633Z,0.2,76.6,6.6,33
2026-04-05T18:22:18.3543192Z,0.4,77.5,7.6,33
2026-04-05T18:22:19.3718110Z,3.3,78.1,8.2,33
2026-04-05T18:22:20.3852163Z,0.0,76.3,8.9,33
2026-04-05T18:22:21.3980081Z,2.3,77.3,9.9,33
2026-04-05T18:22:22.4175103Z,0.2,78.0,10.6,33
2026-04-05T18:22:23.4276143Z,3.3,79.1,11.6,33
2026-04-05T18:22:24.4412513Z,0.0,77.4,12.3,33
2026-04-05T18:22:25.4578566Z,0.2,77.9,12.9,33
2026-04-05T18:22:26.4738166Z,2.3,78.9,13.9,33
2026-04-05T18:22:27.4866535Z,0.2,79.5,14.5,33
2026-04-05T18:22:28.5020243Z,0.4,80.7,15.8,33
2026-04-05T18:22:29.5208059Z,0.2,80.9,16.3,33
2026-04-05T18:22:30.5368025Z,1.9,81.6,17.0,33
2026-04-05T18:22:31.5564598Z,3.6,82.7,18.2,33
2026-04-05T18:22:32.5707988Z,0.6,83.6,18.9,33
2026-04-05T18:22:33.5844318Z,3.9,85.5,20.0,33
2026-04-05T18:22:34.5986473Z,0.8,86.2,20.7,33
2026-04-05T18:22:35.6195812Z,0.4,86.9,21.4,33
2026-04-05T18:22:36.6321683Z,1.4,87.9,22.3,34
2026-04-05T18:22:37.6450625Z,3.7,88.6,23.0,34
2026-04-05T18:22:38.6549662Z,0.4,89.6,24.1,34
2026-04-05T18:22:39.6640199Z,0.0,90.0,24.6,34
2026-04-05T18:22:40.6709471Z,0.0,89.4,24.9,34
